Unnamed: 0,FILE_NAME,STATES,INPUTS,LSTAR_MQ_SYM,LSTAR_MQ_RST,LSTAR_EQ_SYM,LSTAR_EQ_RST,LSTAR_TOTAL_SYM,LSTAR_TOTAL_RST,LSTAR_EQs,LSTAR_MQs,CLSTAR_MQ_SYM,CLSTAR_MQ_RST,CLSTAR_EQ_SYM,CLSTAR_EQ_RST,CLSTAR_TOTAL_SYM,CLSTAR_TOTAL_RST,CLSTAR_EQs,CLSTAR_COMPONENTS,CLSTAR_ROUNDS,CLSTAR_MQs,CACHE
21,22,173,11,5774867,85027,76629,507,5851496,85534,4,92909,44448545,555667,3553433,23660,48001978,579327,154,3,11,764203,True
22,23,173,11,3722735,59961,75202,506,3797937,60467,3,65519,47817568,619478,2947543,19657,50765111,639135,143,3,10,853075,True
23,24,173,11,4098800,62377,75528,503,4174328,62880,3,68159,51386791,602880,2873266,19151,54260057,622031,135,3,10,822791,True
24,25,216,19,5716831,107092,75718,507,5792549,107599,2,112768,46788202,618574,6711752,44704,53499954,663278,292,3,17,709672,True
25,26,216,19,4023223,95057,75629,503,4098852,95560,2,100095,56346597,720480,6256103,41729,62602700,762209,292,3,17,821937,True
26,27,216,19,12407284,214577,75277,505,12482561,215082,4,225951,46387664,630795,5883253,39196,52270917,669991,267,3,16,715689,True
27,28,149,11,2676762,40633,75594,501,2752356,41134,2,44399,51457613,633857,3558914,23730,55016527,657587,162,3,11,843088,True
28,29,149,11,2815965,41237,74786,503,2890751,41740,2,45059,29233649,381127,3089530,20637,32323179,401764,128,3,10,546426,True
29,30,149,11,4158063,61320,76746,508,4234809,61828,3,67004,49353596,607065,3108518,20705,52462114,627770,140,3,10,809839,True
30,31,104,15,10771707,151140,78289,513,10849996,151653,4,161328,34902306,442030,5722403,38128,40624709,480158,206,4,13,514728,True
31,32,104,15,7201032,106284,75222,502,7276254,106786,3,113448,39303944,491694,6019946,40156,45323890,531850,213,4,13,570970,True
32,33,104,15,4815855,71040,74437,502,4890292,71542,2,75828,42800498,537183,6098889,40681,48899387,577864,222,4,14,621625,True
33,34,298,13,7588273,111946,76335,505,7664608,112451,3,120682,44530378,565188,3633532,24166,48163910,589354,162,4,11,768190,True
34,35,298,13,2089306,62131,74962,501,2164268,62632,2,66979,35428600,467386,3694247,24655,39122847,492041,157,4,11,651172,True
35,36,298,13,7451945,124861,77564,513,7529509,125374,4,134605,35433124,431068,3092557,20644,38525681,451712,146,4,10,558958,True
36,37,298,13,5703506,99031,75525,502,5779031,99533,3,106759,42417528,537409,3786232,25189,46203760,562598,159,4,11,740963,True
37,38,298,13,6340290,118711,77401,512,6417691,119223,4,127975,36769005,462667,3627747,24159,40396752,486826,155,4,11,639832,True
38,39,298,13,9940963,142696,75851,508,10016814,143204,4,153832,32022404,424441,4157213,27679,36179617,452120,164,4,12,601088,True
39,40,188,12,1579721,37368,74591,501,1654312,37869,2,40501,29029214,348118,3922905,26123,32952119,374241,146,4,11,472814,True
40,41,864,23,27989548,488521,76348,506,28065896,489027,3,509867,45088703,604502,9176148,61209,54264851,665711,374,5,19,694457,True
41,42,864,23,29784234,577176,80297,534,29864531,577710,4,602396,52345942,974638,9122863,60728,61468805,1035366,376,5,19,1062252,True
